,Author,Quotes,Political Orientation,auto,texicity
792,Fareed Zakaria,"liberal education should give people the skills that will help them get ready for their sixth job, not their first job.",Moderate,0,liberal education give people skills help get ready sixth job first job
793,Fareed Zakaria,"As John Adams famously wrote during the American Revolution, I must study politics and war, that our sons may have liberty to study mathematics and philosophy. Our sons ought to study mathematics and philosophy, geography, natural history and naval architecture, navigation, commerce and agriculture in order to give their children a right to study painting, poetry, music, architecture, statuary, tapestry and porcelain. So maybe today they’re writing apps rather than studying poetry, but that’s an adjustment for the age.",Moderate,0,john adams famously wrote american revolution must study politics war sons may liberty study mathematics philosophy sons ought study mathematics philosophy geography natural history naval architecture navigation commerce agriculture order give children right study painting poetry music architecture statuary tapestry porcelain maybe today writing apps rather studying poetry adjustment age
794,Fareed Zakaria,"Suppose the elections are free and fair and those elected are racists, fascists, separatists, said the American diplomat Richard Holbrooke about Yugoslavia in 1990s. that is the dilemma",Moderate,0,suppose elections free fair elected racists fascists separatists said american diplomat richard holbrooke yugoslavia s dilemma
795,Fareed Zakaria,"If you listen to the political discourse in America today, you would think that all our problems have been caused by the Mexicans of the Chinese or the Muslims. The reality is that we have caused our own problems. Whatever has happened has been caused by isolating ourselves or blaming others.",Moderate,0,listen political discourse america today would think problems caused mexicans chinese muslims reality caused problems whatever happened caused isolating blaming others
796,Fareed Zakaria,The twentieth century was marked by two broad trends: the regulation of capitalism and the deregulation of democracy. Both experiments overreached.,Moderate,0,twentieth century marked two broad trends regulation capitalism deregulation democracy experiments overreached
797,Fareed Zakaria,"Edmund Burke once described society as a partnership between the dead, the living, and the yet unborn. It is difficult to see in the evolving system who will speak for the yet unborn, for the future.",Moderate,0,edmund burke described society partnership dead living yet unborn difficult see evolving system speak yet unborn future
798,Fareed Zakaria,"...during the Asian financial crisis the United States and other Western countries demanded that the Asians take three steps--let bad banks fail, keep spending under control, and keep interest rates high. In it own crisis, the West did exactly the opposite on all three fronts.",Moderate,0,asian financial crisis united states western countries demanded asians take three steps let bad banks fail keep spending control keep interest rates high crisis west exactly opposite three fronts
799,Fareed Zakaria,"Because of the times we live in, all of us, young and old, do not spend enough time and effort thinking about the meaning of life. We do not look inside ourselves enough to understand our strengths and weaknesses, and we do not look around enough - a the world, in history - to ask the deepest and broadest questions. The solution surely is that, even now, we could all use a little bit more of a liberal education.",Moderate,0,times live us young old spend enough time effort thinking meaning life look inside enough understand strengths weaknesses look around enough world history ask deepest broadest questions solution surely even could use little bit liberal education
801,Fareed Zakaria,"In thirty years Iraq too has gone from being among the most modern and secular of Arab countries -with women working, artists thriving, journalists writing- into a squalid playpen for a megalomaniac.",Moderate,0,thirty years iraq gone among modern secular arab countries women working artists thriving journalists writing squalid playpen megalomaniac
802,Fareed Zakaria,"Frederick Douglass saw the same connection. When his master heard that young Frederick was reading well, he was furious, saying, Learning will spoil the best nigger in the world. If he learns to read the Bible it will forever unfit him to be a slave. Douglass recalled that he instinctively assented to the proposition, and from that moment I understood the direct pathway from slavery to freedom.",Moderate,0,frederick douglass saw connection master heard young frederick reading well furious saying learning spoil best nigger world learns read bible forever unfit slave douglass recalled instinctively assented proposition moment understood direct pathway slavery freedom
803,Fareed Zakaria,"California has often led the country, indeed the world, in the technology, consumption, trends, lifestyles, and of course, mass entertainment. It is where the car found its earliest and fullest expression, where suburbs blossomed, where going to gym replaced going to church, where forces that lead so many to assume that direct democracy is the wave of the future - declining political parties, telecommuting, new technology, the internet generation 0 are all most well developed in this vast land.",Moderate,0,california often led country indeed world technology consumption trends lifestyles course mass entertainment car found earliest fullest expression suburbs blossomed going gym replaced going church forces lead many assume direct democracy wave future declining political parties telecommuting new technology internet generation  well developed vast land
804,Fareed Zakaria,What we need in politics today is not more democracy but less.,Moderate,0,need politics today democracy less
805,Fareed Zakaria,"But now, we are becoming suspicious of the very things we have long celebrated - free markets, trade, immigration, and technological change. And all this is happening when the tide is going our way. Just as the world is opening up, America is closing down.",Moderate,0,becoming suspicious things long celebrated free markets trade immigration technological change happening tide going way world opening america closing
806,Fareed Zakaria,British rule meant not democracy -colonialism is almost by definition underdemocratic - but limited constitutional liberalism and capitalism,Moderate,0,british rule meant democracy colonialism almost definition underdemocratic limited constitutional liberalism capitalism
807,Fareed Zakaria,The Yale report explained that the essence of liberal education was not to teach that which is peculiar to any one of the professions; but to lay the foundation which is common to them all.,Moderate,0,yale report explained essence liberal education teach peculiar one professions lay foundation common
808,Fareed Zakaria,"The solution is not that people need to major in marketing in college, but that their liberal education should be more structured and demanding. Majors should have some required sequence of basic courses, as in economics.",Moderate,0,solution people need major marketing college liberal education structured demanding majors required sequence basic courses economics
809,Fareed Zakaria,"In the Middle East today there are too many people consumed by political dreams and too few interested in practical plans. That is why, to paraphrase Winston Churchill's line about the Balkans, the region produces more history than it consumes.",Moderate,0,middle east today many people consumed political dreams interested practical plans paraphrase winston churchill line balkans region produces history consumes
810,Fareed Zakaria,"More intriguingly, in poll after poll, when Americans are asked what public institutions they most respect, three bodies are always at the top of their list: the Supreme Court, the armed forces, and the Federal Reserve System. All three have one thing in common: they are insulated from the public pressures and operate undemocratically. It would seem that Americans admire these institutions, preciselly because they lead rather than follow.",Moderate,0,intriguingly poll poll americans asked public institutions respect three bodies always top list supreme court armed forces federal reserve system three one thing common insulated public pressures operate undemocratically would seem americans admire institutions preciselly lead rather follow
812,Fareed Zakaria,"Good programming, like good books, asks a little more of the viewer. But no executive today will risk having the viewer bored for even a minute.",Moderate,0,good programming like good books asks little viewer executive today risk viewer bored even minute
813,Fareed Zakaria,"For Jefferson, there was one step crucial to creating a genuine natural aristocracy. The poor and rich had to have equal access to a good education. That's why, despite being soemthing of a liberatarian, he repeatedly proposed that the state pay for universal primary education as well as fund education at later stages. He was met with opposition from many quarters, mostly those wary of big government or highter taxes. Yet interestingly, one of this most ardent supporters was an old friend and political opponent, the conservative John Adams. The whole people must take upon themselves the education of the whole people, and must be willing to bear the expenses of it, Adams wrote. There should not be a district of one mile square, without a school in it, not founded by a charitable individual, but maintained at the public expense of the people.",Moderate,0,jefferson one step crucial creating genuine natural aristocracy poor rich equal access good education despite soemthing liberatarian repeatedly proposed state pay universal primary education well fund education later stages met opposition many quarters mostly wary big government highter taxes yet interestingly one ardent supporters old friend political opponent conservative john adams whole people must take upon education whole people must willing bear expenses adams wrote district one mile square without school founded charitable individual maintained public expense people
814,Fareed Zakaria,"Walter Lippmann was once asked his views on a particular topic, he is said to have replied, I don’t know what I think on that one. I haven’t written about it yet.",Moderate,0,walter lippmann asked views particular topic said replied know think one written yet
815,Fareed Zakaria,The basic problem for American workers of all ages has been that their hours and productivity keep rising but their wages do not.,Moderate,0,basic problem american workers ages hours productivity keep rising wages
816,Fareed Zakaria,... low interest rates and cheap credit also cause people to act foolishly or greedily ...,Moderate,0,low interest rates cheap credit also cause people act foolishly greedily
817,Fareed Zakaria,"A nations path to greatness lies in its economic prowess and that militarism, empire, and aggression lead to a dead end.",Moderate,0,nations path greatness lies economic prowess militarism empire aggression lead dead end
818,Fareed Zakaria,"What remains of the old Protestant fundamentalism is politics: abortion, gays, evolution. these issues are what binds congregations together. but even here things have changed as Americans have become more tolerant of many of these social taboos. Today many fundamentalist churches take nominally tough positions on, say, homosexuality but increasingly do little else for fear of offending the average believer, whom one schollar calls the unchurched Harry. All it really takes to be a fundamentalist these days is to watch the TV shows, go to the theme parks, buy Christian rock, and vote Republican. The Sociologist Mark Shilbey, calls it the Californication of conservative Protestantism.",Moderate,0,remains old protestant fundamentalism politics abortion gays evolution issues binds congregations together even things changed americans become tolerant many social taboos today many fundamentalist churches take nominally tough positions say homosexuality increasingly little else fear offending average believer one schollar calls unchurched harry really takes fundamentalist days watch tv shows go theme parks buy christian rock vote republican sociologist mark shilbey calls californication conservative protestantism
819,Fareed Zakaria,"The political history of the twentieth century is the story of greater and more direct political participation. And success kept expanding democracy's scope. Whatever the ailment, more democracy became the cure.",Moderate,0,political history twentieth century story greater direct political participation success kept expanding democracy scope whatever ailment democracy became cure
820,Fareed Zakaria,"Andrew Moraviscik, one of the best American scholars of Europe, points out that once you exclude translators and clerical workers, the European Commission employs 2.500 officials, fewer than any moderately sized European city and less than 1 percent of the number employed by the French state alone. As for its undemocratic nature, any new law it wishes to pass needs more than 71 percent of the weighted national-government votes - a larger proportion than the required to amend the American Constitution.",Moderate,0,andrew moraviscik one best american scholars europe points exclude translators clerical workers european commission employs   officials fewer moderately sized european city less  percent number employed french state alone undemocratic nature new law wishes pass needs  percent weighted national government votes larger proportion required amend american constitution
821,Fareed Zakaria,"In the world of journalism, the personal Web site (blog) was hailed as the killer of the traditional media. In fact it has become hailed as the killer of the traditional media. In fact it has become something quite different. Far from replacing newspapers and magazines, the best blogs-and the best are very clever- have become guides to them, pointing to unusual sources and commenting on familiar ones. They have become mediators for the informed public.",Moderate,0,world journalism personal web site blog hailed killer traditional media fact become hailed killer traditional media fact become something quite different far replacing newspapers magazines best blogs best clever become guides pointing unusual sources commenting familiar ones become mediators informed public
822,Fareed Zakaria,"Legitimacy is the elixir of political power. The strongest is never strong enough to be the master, Jean-Jaques Rousseau observed, unless he translates strength into right and obedience into duty. Only democracy has that authority in the world today.",Moderate,0,legitimacy elixir political power strongest never strong enough master jean jaques rousseau observed unless translates strength right obedience duty democracy authority world today
823,Fareed Zakaria,"Eighty years ago, Woodrow Wilson took America into the twentieth century with a challenge to make the world safe for democracy. As we enter the twenty-first century, our task is to make democracy safe for the world.",Moderate,0,eighty years ago woodrow wilson took america twentieth century challenge make world safe democracy enter twenty first century task make democracy safe world
824,Fareed Zakaria,"Politically Incorrect was the name of the show Bill Maher hosted in the 1990s. It's also an apt description of the man himself. Now host of -- HBO's hit show Real Time, I find Maher to be one of the sharpest observers of American politics and life in general out there. It doesn't mean I always agree with him. I always find him funny, though.",Moderate,0,politically incorrect name show bill maher hosted s also apt description man host hbo hit show real time find maher one sharpest observers american politics life general mean always agree always find funny though
825,Fareed Zakaria,"The real challenges that the country faces come from the winners, not the losers, of the new world.",Moderate,0,real challenges country faces come winners losers new world
826,Fareed Zakaria,"Democracy is also a single ideology, and, like all such templates, it has its limits. what works in a legislature might not work in a corporation",Moderate,0,democracy also single ideology like templates limits works legislature might work corporation
827,Fareed Zakaria,"In fact, some have said that the clash between Catholicism and Protestantism illustrates the old maxim that religious freedom is the product of two equally pernicious fanaticisms, each cancelling the other out",Moderate,0,fact said clash catholicism protestantism illustrates old maxim religious freedom product two equally pernicious fanaticisms cancelling
828,Fareed Zakaria,"France placed the state above society , democracy above constitutionalism, and equality above liberty. As a result, for much of the nineteenth century it was democratic, with broad suffrage and elections, but hardly liberal. it was certainly a less secure home for individual freedom than was England or America.",Moderate,0,france placed state society democracy constitutionalism equality liberty result much nineteenth century democratic broad suffrage elections hardly liberal certainly less secure home individual freedom england america
829,Fareed Zakaria,"Russia's fundamental problem is not that it is a poor country struggling to modernize, but rather that it is a rich country struggling to modernize. Schoolchildren in the Soviet era were taught that they lived in the richest country in the world. In this case communist propaganda was true",Moderate,0,russia fundamental problem poor country struggling modernize rather rich country struggling modernize schoolchildren soviet era taught lived richest country world case communist propaganda true
830,Fareed Zakaria,"Religions are vague, of course. This means that they are easy to follow -you can interpret their prescriptions as you like. but it also means that it is easy to slip up -there is always some injunction you are violating. But Islam has no religious establishment - no popes, no bishops - that can declare by fiat which is the correct interpretation. As a result, the decision to oppose the state on the grounds that is insufficiently Islamic belongs to anyone who wishes to exercise it.",Moderate,0,religions vague course means easy follow interpret prescriptions like also means easy slip always injunction violating islam religious establishment popes bishops declare fiat correct interpretation result decision oppose state grounds insufficiently islamic belongs anyone wishes exercise
831,Fareed Zakaria,"In an almost unthinkable reversal of a global pattern, almost every Arab country today is less free than it was forty years ago. There are few places in the world about which one can say that.",Moderate,0,almost unthinkable reversal global pattern almost every arab country today less free forty years ago places world one say
832,Fareed Zakaria,"For years many in the oil-rich states argued that their enormous wealth would bring modernizations. They pointed to the impressive appetites of Saudis and Kuwaitis for things Western, from McDonald's hamburgers to Rolex watches to Cadillac limousines. but importing Western good is easy; importing the inner stuffing of modern society - a free market, political parties, accountability, the rule of law - is difficult and even dangerous for the ruling elites",Moderate,0,years many oil rich states argued enormous wealth would bring modernizations pointed impressive appetites saudis kuwaitis things western mcdonald hamburgers rolex watches cadillac limousines importing western good easy importing inner stuffing modern society free market political parties accountability rule law difficult even dangerous ruling elites
834,Fareed Zakaria,The education system is an increasingly powerful mechanism for the intergenerational reproduction of privilege.,Moderate,0,education system increasingly powerful mechanism intergenerational reproduction privilege
835,Fareed Zakaria,"Civically engaged, business oriented, technology obsessed, and socially skilled, Franklin was our founding Yuppie, declares the New York Times columnist David Brooks. Franklin would have felt right at home in the information revolution, Walter Isaacson writes in his biography of the statesman. We can easily imagine having a beer with him after work, showing him how to use the latest digital device, sharing the business plan of a new venture, and discussing the most recent political scandals or policy ideas. The essence of Franklin's appeal is that he was brilliant but practical, interested in everything, but especially in how things work.",Moderate,0,civically engaged business oriented technology obsessed socially skilled franklin founding yuppie declares new york times columnist david brooks franklin would felt right home information revolution walter isaacson writes biography statesman easily imagine beer work showing use latest digital device sharing business plan new venture discussing recent political scandals policy ideas essence franklin appeal brilliant practical interested everything especially things work
836,Fareed Zakaria,"Glimpses of World History,",Moderate,0,glimpses world history
837,Fareed Zakaria,"the test scores used in admissions are a measure of what colleges take in, not what they produce. The fact that an Ivy League school has freshmen with high SAT scores tells us that it is a good magnet for talent but nothing else. What should matter is how students, including those with low SAT scores, improve over the course of their time in school.",Moderate,0,test scores used admissions measure colleges take produce fact ivy league school freshmen high sat scores tells us good magnet talent nothing else matter students including low sat scores improve course time school
838,Fareed Zakaria,"FOR MOST OF human history, education was job training. Hunters, farmers, and warriors taught the young to hunt, farm, and fight. Children of the ruling class received instruction in the arts of war and governance, but this too was intended first and foremost as preparation for the roles they would assume later in society, not for any broader purpose. All that began to change twenty-five hundred years ago in ancient Greece.",Moderate,0,human history education job training hunters farmers warriors taught young hunt farm fight children ruling class received instruction arts war governance intended first foremost preparation roles would assume later society broader purpose began change twenty five hundred years ago ancient greece
839,Fareed Zakaria,forces you to make choices and brings clarity and order to your ideas.,Moderate,0,forces make choices brings clarity order ideas
840,Fareed Zakaria,"Mark Zuckerberg and Jeff Bezos are far more important symbols than any politician today, and they occupy the space that iconic political figures did in earlier eras.",Moderate,0,mark zuckerberg jeff bezos far important symbols politician today occupy space iconic political figures earlier eras
842,Fareed Zakaria,"crucial element of Greek education. In the city-state of Sparta, the most extreme example of this focus, young boys considered weak at birth were abandoned to die. The rest were sent to grueling boot camps, where they were toughened into Spartan soldiers from an early age. Around the fifth century BC, some Greek city-states, most notably Athens, began to experiment with a new form of government. Our constitution is called a democracy, the Athenian statesman Pericles noted in his funeral oration, because power is in the hands not of a minority but of the",Moderate,0,crucial element greek education city state sparta extreme example focus young boys considered weak birth abandoned die rest sent grueling boot camps toughened spartan soldiers early age around fifth century bc greek city states notably athens began experiment new form government constitution called democracy athenian statesman pericles noted funeral oration power hands minority
844,Fareed Zakaria,"Chief Justice Warren Burger, a conservative appointed by Richard Nixon, described the new interpretation of the Second Amendment in an interview after his tenure as 'one of the greatest pieces of fraud-I repeat the word FRAUD-on the American public by special-interest groups that I have ever seen in my lifetime.",Moderate,0,chief justice warren burger conservative appointed richard nixon described new interpretation second amendment interview tenure one greatest pieces fraud repeat word fraud american public special interest groups ever seen lifetime
845,Fareed Zakaria,liberty came to the West centuries before democracy. Liberty led to democracy and not the other way around.,Moderate,0,liberty came west centuries democracy liberty led democracy way around
846,Fareed Zakaria,"In 1778, Jefferson presented to the Virginia legislature A Bill for the More General Diffusion of Knowledge, in which he argued that all forms of government could degenerate into tyranny. The best way of preventing this, he wrote, is to illuminate, as far as practicable, the minds of the people at large. The study of history could serve as an especially effective bulwark, allowing the people to learn how to defeat tyranny from past examples. Jefferson would return again and again to the importance of education in a democracy.",Moderate,0, jefferson presented virginia legislature bill general diffusion knowledge argued forms government could degenerate tyranny best way preventing wrote illuminate far practicable minds people large study history could serve especially effective bulwark allowing people learn defeat tyranny past examples jefferson would return importance education democracy
847,Fareed Zakaria,"I should have paid greater attention to my mentor in graduate school, Samuel Huntington, who once explained that Americans never recognize that, in the developing world, the key is not the kind of government",Moderate,0,paid greater attention mentor graduate school samuel huntington explained americans never recognize developing world key kind government
848,Fareed Zakaria,"This isolation has left Americans quite unaware of the world beyond their borders. Americans speak few languages, know little about foreign cultures, and remain unconvinced that they need to rectify this. Americans rarely benchmark to global standards because they are sure that their way must be the best and most advanced. There is a growing gap between America's worldly business elite and cosmopolitan class, on the one hand and the majority of the American people on the other. Without real efforts to bridge it, this divide could destroy America's competitive edge and its political future.",Moderate,0,isolation left americans quite unaware world beyond borders americans speak languages know little foreign cultures remain unconvinced need rectify americans rarely benchmark global standards sure way must best advanced growing gap america worldly business elite cosmopolitan class one hand majority american people without real efforts bridge divide could destroy america competitive edge political future
849,Fareed Zakaria,FAR CRY 4 FULL UNLOCKED TORRENT RELOADED CRACK FREE DOWNLOAD,Moderate,0,far cry  full unlocked torrent reloaded crack free download
850,Fareed Zakaria,"As it enters the twenty-first century, the United States is not fundamentally a weak economy, or a decadent society. But it has developed a highly dysfunctional politics. An antiquated and overly rigid political system to begin with",Moderate,0,enters twenty first century united states fundamentally weak economy decadent society developed highly dysfunctional politics antiquated overly rigid political system begin
851,Fareed Zakaria,"But looking under the covers of Indian democracy one sees a more complex and troubling reality. In recent decades, India has become something quite different from the picture in the hearts of its admirers. Not that it is less democratic: in important ways it has become more democratic. But it has become less tolerant, less secular, less law-abiding, less liberal. And these two trends",Moderate,0,looking covers indian democracy one sees complex troubling reality recent decades india become something quite different picture hearts admirers less democratic important ways become democratic become less tolerant less secular less law abiding less liberal two trends
854,Fareed Zakaria,The most recent edition of the test,Moderate,0,recent edition test
855,Fareed Zakaria,Education Arne Duncan has estimated that Chinese students spend 25 to 30 percent longer a year in school than their American counterparts.,Moderate,0,education arne duncan estimated chinese students spend   percent longer year school american counterparts
856,Fareed Zakaria,The Romans saw loss of virtue all around them. The Victorians decried the decline in religiosity in the next generation.,Moderate,0,romans saw loss virtue around victorians decried decline religiosity next generation
857,Fareed Zakaria,"in 2010, foreign students received more than 50 percent of all Ph.D.’s awarded in every subject in the United States. In the sciences, that figure is closer to 75 percent. Half of all Silicon Valley start-ups have one founder who is an immigrant or first-generation American. America’s potential new burst of productivity, its edge in nanotechnology, biotechnology, its ability to invent the future",Moderate,0, foreign students received  percent ph awarded every subject united states sciences figure closer  percent half silicon valley start ups one founder immigrant first generation american america potential new burst productivity edge nanotechnology biotechnology ability invent future
858,Chris Matthews,"Historically, the coupling of president and Speaker has been a tricky one that encourages a choreography both quick-footed and wary",Moderate,0,historically coupling president speaker tricky one encourages choreography quick footed wary
859,Chris Matthews,The author attributes part of the Carter-Reagan divide to their respective attitudes toward the city from which they governed. Carter was deeply suspicious of its coziness. Reagan intended to enjoy his temporary home even while delivering it from its reigning ideology.,Moderate,0,author attributes part carter reagan divide respective attitudes toward city governed carter deeply suspicious coziness reagan intended enjoy temporary home even delivering reigning ideology
860,Chris Matthews,The author defines professionalism as exemplified by his subjects in their mutual unwillingness to take expected opposition personally. They would not allow grudges to get in the way of more important business.,Moderate,0,author defines professionalism exemplified subjects mutual unwillingness take expected opposition personally would allow grudges get way important business
861,Chris Matthews,the Senate in 1958. He was the,Moderate,0,senate 
862,Chris Matthews,"Earlier that year, at the hundredth anniversary of his Harvard club, a member was talking about the spirit of Harvard College and saying how glad he was that the school had produced neither a Joseph McCarthy or an Alger Hiss. On hearing that coupling, Kennedy jumped from his chair. How dare you compare the name of a great American patriot with that of a traitor! and left the room. As for his father, the very thought",Moderate,0,earlier year hundredth anniversary harvard club member talking spirit harvard college saying glad school produced neither joseph mccarthy alger hiss hearing coupling kennedy jumped chair dare compare name great american patriot traitor left room father thought
864,Chris Matthews,"In one brain imaging study, psychology professor Matthew Lieberman of the University of California, Los Angeles, found that when people are shown photos of faces expressing strong emotion, the brain shows greater activity in the amygdala, the part that generates fear. But when they are asked to label the emotion, the activity moves to the areas that govern rational thinking. In other words, labeling an emotion",Moderate,0,one brain imaging study psychology professor matthew lieberman university california los angeles found people shown photos faces expressing strong emotion brain shows greater activity amygdala part generates fear asked label emotion activity moves areas govern rational thinking words labeling emotion
865,Chris Matthews,"But in 2009, even as the British track cycling team was preparing for the London Olympics, Brailsford embarked upon a new challenge. He created a road cycling team, Team Sky, while continuing to oversee the track team. On the day the new outfit was announced to the world, Brailsford also announced that they would win the Tour de France within five years. Most people laughed at this aspiration. One commentator said: Brailsford has set himself up for an almighty fall. But in 2012, two years ahead of schedule, Bradley Wiggins became the first-ever British rider to win the event. The following year, Team Sky triumphed again when Chris Froome, another Brit, won the general classification. It was widely acclaimed as one of the most extraordinary feats in British sporting history. How did it happen? How did Brailsford conquer not one cycling discipline, but two? These were the questions I asked him over dinner at the team’s small hotel after the tour of the facilities. His answer was clear: It is about marginal gains, he said. The approach comes from the idea that if you break down a big goal into small parts, and then improve on each of them, you will deliver a huge increase when you put them all together. It sounds simple, but as a philosophy, marginal gains has become one of the hottest concepts not just in sports, but beyond. It has formed the basis of business conferences, and seminars and has even been debated in the armed forces. Many British sports now employ a director of marginal gains.",Moderate,0, even british track cycling team preparing london olympics brailsford embarked upon new challenge created road cycling team team sky continuing oversee track team day new outfit announced world brailsford also announced would win tour de france within five years people laughed aspiration one commentator said brailsford set almighty fall  two years ahead schedule bradley wiggins became first ever british rider win event following year team sky triumphed chris froome another brit general classification widely acclaimed one extraordinary feats british sporting history happen brailsford conquer one cycling discipline two questions asked dinner team small hotel tour facilities answer clear marginal gains said approach comes idea break big goal small parts improve deliver huge increase put together sounds simple philosophy marginal gains become one hottest concepts sports beyond formed basis business conferences seminars even debated armed forces many british sports employ director marginal gains
866,David Rockefeller,"We are grateful to the Washington Post, the New York Times, Time Magazine and other great publications whose directors have attended our meetings and respected their promises of discretion for almost 40 years......It would have been impossible for us to develop our plan for the world if we had been subjected to the lights of publicity during those years. But, the world is more sophisticated and prepared to march towards a world government. The supernational sovereignty of an intellectual elite and world bankers is surely preferable to the national autodetermination practiced in past centuries.",Moderate,0,grateful washington post new york times time magazine great publications whose directors attended meetings respected promises discretion almost  years would impossible us develop plan world subjected lights publicity years world sophisticated prepared march towards world government supernational sovereignty intellectual elite world bankers surely preferable national autodetermination practiced past centuries
874,David Rockefeller,"David Meerman Scott says, You are what you publish.",Moderate,0,david meerman scott says publish
883,Peter Thiel,"ZERO TO ONE EVERY MOMENT IN BUSINESS happens only once. The next Bill Gates will not build an operating system. The next Larry Page or Sergey Brin won’t make a search engine. And the next Mark Zuckerberg won’t create a social network. If you are copying these guys, you aren’t learning from them.",Moderate,0,zero one every moment business happens next bill gates build operating system next larry page sergey brin make search engine next mark zuckerberg create social network copying guys learning
884,Peter Thiel,"The best entrepreneurs know this: every great business is built around a secret that’s hidden from the outside. A great company is a conspiracy to change the world; when you share your secret, the recipient becomes a fellow conspirator.",Moderate,0,best entrepreneurs know every great business built around secret hidden outside great company conspiracy change world share secret recipient becomes fellow conspirator
885,Peter Thiel,"Elite students climb confidently until they reach a level of competition sufficiently intense to beat their dreams out of them. Higher education is the place where people who had big plans in high school get stuck in fierce rivalries with equally smart peers over conventional careers like management consulting and investment banking. For the privilege of being turned into conformists, students (or their families) pay hundreds of thousands of dollars in skyrocketing tuition that continues to outpace inflation. Why are we doing this to ourselves?",Moderate,0,elite students climb confidently reach level competition sufficiently intense beat dreams higher education place people big plans high school get stuck fierce rivalries equally smart peers conventional careers like management consulting investment banking privilege turned conformists students families pay hundreds thousands dollars skyrocketing tuition continues outpace inflation
886,Peter Thiel,The most valuable businesses of coming decades will be built by entrepreneurs who seek to empower people rather than try to make them obsolete.,Moderate,0,valuable businesses coming decades built entrepreneurs seek empower people rather try make obsolete
887,Peter Thiel,Madness is rare in individuals,Moderate,0,madness rare individuals
889,Peter Thiel,"Customers won’t care about any particular technology unless it solves a particular problem in a superior way. And if you can’t monopolize a unique solution for a small market, you’ll be stuck with vicious competition.",Moderate,0,customers care particular technology unless solves particular problem superior way monopolize unique solution small market stuck vicious competition
890,Peter Thiel,All Rhodes Scholars had a great future in their past.,Moderate,0,rhodes scholars great future past
892,Peter Thiel,"CREATIVE MONOPOLY means new products that benefit everybody and sustainable profits for the creator. Competition means no profits for anybody, no meaningful differentiation, and a struggle for survival.",Moderate,0,creative monopoly means new products benefit everybody sustainable profits creator competition means profits anybody meaningful differentiation struggle survival
893,Peter Thiel,"When Yahoo! offered to buy Facebook for $1 billion in July 2006, I thought we should at least consider it. But Mark Zuckerberg walked into the board meeting and announced: Okay, guys, this is just a formality, it shouldn’t take more than 10 minutes. We’re obviously not going to sell here. Mark saw where he could take the company, and Yahoo! didn’t.",Moderate,0,yahoo offered buy facebook $ billion july  thought least consider mark zuckerberg walked board meeting announced okay guys formality take  minutes obviously going sell mark saw could take company yahoo
894,Peter Thiel,"Even in engineering-driven Silicon Valley, the buzzwords of the moment call for building a lean startup that can adapt and evolve to an ever-changing environment. Would-be entrepreneurs are told that nothing can be known in advance: we’re supposed to listen to what customers say they want, make nothing more than a minimum viable product, and iterate our way to success. But leanness is a methodology, not a goal. Making small changes to things that already exist might lead you to a local maximum, but it won’t help you find the global maximum. You could build the best version of an app that lets people order toilet paper from their iPhone. But iteration without a bold plan won’t take you from 0 to 1. A company is the strangest place of all for an indefinite optimist: why should you expect your own business to succeed without a plan to make it happen? Darwinism may be a fine theory in other contexts, but in startups, intelligent design works best.",Moderate,0,even engineering driven silicon valley buzzwords moment call building lean startup adapt evolve ever changing environment would entrepreneurs told nothing known advance supposed listen customers say want make nothing minimum viable product iterate way success leanness methodology goal making small changes things already exist might lead local maximum help find global maximum could build best version app lets people order toilet paper iphone iteration without bold plan take   company strangest place indefinite optimist expect business succeed without plan make happen darwinism may fine theory contexts startups intelligent design works best
895,Peter Thiel,"Indefinite attitudes to the future explain what’s most dysfunctional in our world today. Process trumps substance: when people lack concrete plans to carry out, they use formal rules to assemble a portfolio of various options. This describes Americans today. In middle school, we’re encouraged to start hoarding extracurricular activities. In high school, ambitious students compete even harder to appear omnicompetent. By the time a student gets to college, he’s spent a decade curating a bewilderingly diverse résumé to prepare for a completely unknowable future. Come what may, he’s ready",Moderate,0,indefinite attitudes future explain dysfunctional world today process trumps substance people lack concrete plans carry use formal rules assemble portfolio various options describes americans today middle school encouraged start hoarding extracurricular activities high school ambitious students compete even harder appear omnicompetent time student gets college spent decade curating bewilderingly diverse resume prepare completely unknowable future come may ready
896,Peter Thiel,"That’s why hiring consultants doesn’t work. Part-time employees don’t work. Even working remotely should be avoided, because misalignment can creep in whenever colleagues aren’t together full-time, in the same place, every day. If you’re deciding whether to bring someone on board, the decision is binary. Ken Kesey was right: you’re either on the bus or off the bus.",Moderate,0,hiring consultants work part time employees work even working remotely avoided misalignment creep whenever colleagues together full time place every day deciding whether bring someone board decision binary ken kesey right either bus bus
897,Peter Thiel,Entrepreneurship: you put one dumb foot in front of the other while the world throws bricks at your head.,Moderate,0,entrepreneurship put one dumb foot front world throws bricks head
898,Peter Thiel,"The best projects are likely to be overlooked, not trumpeted by a crowd; the best problems to work on are often the ones nobody else even tries to solve.",Moderate,0,best projects likely overlooked trumpeted crowd best problems work often ones nobody else even tries solve
899,Peter Thiel,"A startup is the largest endeavor over which you can have definite mastery. You can have agency not just over your own life, but over a small and important part of the world. It begins by rejecting the unjust tyranny of Chance. You are not a lottery ticket.",Moderate,0,startup largest endeavor definite mastery agency life small important part world begins rejecting unjust tyranny chance lottery ticket
900,Peter Thiel,The most successful companies make the core progression,Moderate,0,successful companies make core progression
