,Author,Quotes,Political Orientation
15753,Dinesh D'Souza,"The scheme works like this. Progressives supply the basic needs of poor blacks, creating for them a new plantation called the inner city. There blacks are provided with food, subsidized housing, medical care, and so on. In this regard, the new plantation functions pretty much like the old one, with a few modifications. Under slavery, this was rural paternalism; now it is urban paternalism. The slave master is replaced by the government; i.e. the Big House of slavery is now replaced by the White House.",Right
15754,Dinesh D'Souza,"Progressives today are quick to fault America for slavery and a host of other outrages. America did this, America did that. As we will see in this book, America didn’t do those things, the Democrats did. So the Democrats have cleverly foisted their sins on America, and then presented themselves as the messiahs offering redemption for those sins. It’s crazy, but it’s also ingenious. We have to give them credit for ingenuity. The second whitewash is to portray the Civil War entirely in terms of the North versus the South. The North is supposedly the anti-slavery side and the South is the pro-slavery side. A recent example is Ta-Nehisi Coates’s article about the Confederate battle flag in The Atlantic.3 Now of course there is an element of truth in this, in that the Civil War was fought between northern states and southern states. But this neat and convenient division ignores several important details. First, the defenders of the Confederate cause were, almost without exception, Democrats. Coates cites many malefactors from Senator Jefferson Davis to Senator James Henry Hammond to Georgia Governor Joseph Brown. Yet while identifying these men as southerners and Confederates, Coates omits to identify them as Democrats. Second, Coates and other progressives conveniently ignore the fact that northern Democrats were also protectors of slavery. We will see in this chapter how Stephen Douglas and other northern Democrats fought to protect slavery in the South and in the new territories. Moreover, the southerners who fought for the Confederacy cannot be said to have fought merely to protect slavery on their plantations. Indeed, fewer than one-third of white families in the South on the eve of the Civil War had slaves. Thus the rigid North-South interpretation of the Civil War conceals",Right
15755,Dinesh D'Souza,"Lack of accomplishment is one thing; deceit is quite another. Everyone who has followed her career knows that Hillary is dishonest to the core, a congenital liar as columnist William Safire once put it. The writer Christopher Hitchens titled his book about the Clintons No One Left to Lie To. Even Hollywood mogul David Geffen, an avid progressive, said a few years ago of the Clintons, Everybody in politics lies but they do it with such ease, it’s troubling.3",Right
15756,Dinesh D'Souza,"This is how Hillary conducts government policy. She is ruthless, she is grasping, she appears to have little empathy or concern for people. She is old, and mean, and even her laugh is a witch’s cackle. There is almost nothing appealing about her. How, then, could she be the first choice of progressive Democrats and the apparent frontrunner for winning the presidency in November 2016?",Right
15757,Dinesh D'Souza,"I show in a subsequent chapter how the Democrats were the party of slavery, and how the slave-owner mentality continues to shape the policies of Democratic leaders today.",Right
15758,Dinesh D'Souza,The bad guys,Right
15759,Dinesh D'Souza,"So what if people disagree about values? People also disagree about facts. . . .In my view, the great intellectual challenge facing conservatives is to make the case for morality at a time when many in the West have ceased to believe in an external moral order. The decline of belief in such an order is the most important political development of the past two centuries. Indeed, this decline has created the crisis of the West.",Right
16240,Dinesh D'Souza,"Second, America is drowning in debt. While China is the world’s largest creditor nation, America is the world’s largest debtor nation. At $17 trillion, the national debt is now bigger than the annual gross domestic product",Right
16241,Dinesh D'Souza,"Frank Marshall Davis, the former Communist who was Obama’s mentor in Hawaii, was so radical that he opposed President Truman’s Marshall Plan as a device for maintaining white imperialism. Truman and Marshall, he wrote, were using billions of U.S. dollars to bolster the tottering empires of England, France, Belgium, Holland and the other western exploiters of teeming millions. Indeed the objective of America after World War II was to re-enslave the yellow and brown and black peoples of the world. While Davis spurned America he praised Red Russia as my friend.3 Young Obama",Right
16242,Dinesh D'Souza,"Progressives want to take over all the major industries, from education to health care to energy to automobiles to investment banking to real estate. From Wall Street to Silicon Valley, they want, as my fellow inmates like to say, the whole enchilada. This is not to say that progressives intend to seize all that wealth, but they do want to control it. Progressives generally can’t create wealth, so they seek to take it over once it has been created by someone else. They do this through the various agencies of government, such as the IRS, the FBI, the EPA, the FCC, the FDA, the BLM, and HHS. Certainly progressive leaders intend to become fantastically rich while pretending to serve the public good",Right
16243,Dinesh D'Souza,"Hillary rode her husband’s success to become first lady of Arkansas, then first lady of the United States. Then she won an easy race in liberal New York to become its junior senator. As a senator she accomplished, well, nothing. Then she ran for the Democratic presidential nomination, losing to Barack Obama, who appointed her secretary of state. Despite extensive travels, Hillary’s achievements as secretary of state are essentially nil. As with Benghazi, most of her notable actions are screwups. In an apparent confirmation of the Peter Principle, however, Hillary is now back as the leading candidate for the Democratic nomination for president in 2016. Hillary is fortunate, not merely in her career path, but also in being the surprise recipient of hundreds of millions of dollars that have been rained on her and her husband both directly and through the Clinton Foundation. The Clinton Foundation has raised more than $2 billion in contributions. A substantial portion of that came from foreign governments. Some sixteen nations together have given $130 million. In addition, through speeches and consulting fees, more than $100 million has ended up in the pockets of the Clintons themselves. The foundation, although ostensibly a charitable enterprise, gives only one dollar out of ten to charity. It has also been disclosed that the Clintons have developed a penchant for traveling in high style, and use a substantial amount of donation money on private planes and penthouse suites. The rest of the loot seems to have been accumulated into a war chest that is at the behest of the Clintons and the Hillary presidential campaign.",Right
16244,Dinesh D'Souza,"The godfather’s name is Saul Alinsky. His most famous students are Barack Obama and Hillary Clinton. Hardly anyone recognizes this, but Alinsky and the Alinsky method is the hidden force behind the 2008 economic meltdown. The meltdown was the worst economic crisis since the Great Depression; it was the main cause of median wealth in the United States in the subsequent three years declining nearly 40 percent. While the meltdown is routinely attributed to Wall Street greed, its real cause was government and activist pressure on banks and banking agencies",Right
16245,Dinesh D'Souza,"Hitler and Mussolini were indeed authoritarians, but it doesn’t follow that authoritarianism equals fascism or Nazism. Lenin and Stalin were authoritarian, but neither was a fascist. Many dictators",Right
16246,Dinesh D'Souza,"The American Revolution was characterized by three basic freedoms: economic freedom or capitalism, political freedom or constitutional democracy, and freedom of speech and religion. These are the freedoms that, in their original form, American conservatives seek to conserve.",Right
16247,Dinesh D'Souza,"Publicly inconsolable about the fact that racism continues, these activists seem privately terrified that it has abated.",Right
16248,Dinesh D'Souza,"My conclusion is that contrary to popular belief, atheism is not primarily an intellectual revolt, it is a moral revolt. Atheists don’t find God invisible so much as objectionable. They aren’t adjusting their desires to the truth, but rather the truth to fit their desires. This is something we can all identify with. It is a temptation even for believers. We want to be saved as long as we are not saved from our sins. We are quite willing to be saved from a whole host of social evils, from poverty to disease to war. But we want to leave untouched the personal evils, such as selfishness and lechery and pride. We need spiritual healing, but we do not want it. Like a supervisory parent, God gets in our way. This is the perennial appeal of atheism: it gets rid of the stern fellow with the long beard and liberates us for the pleasures of sin and depravity. The atheist seeks to get rid of moral judgment by getting rid of the judge.",Right
16249,Dinesh D'Souza,"Imagine the horror of Obama and his aides, therefore, when one of the leading academic champions of Obamacare, economist Jonathan Gruber of the Massachusetts Institute of Technology, decided to reveal the con, even to the point of confessing it was a con. Gruber himself received $2 million in consulting fees related to Obamacare.",Right
16250,Dinesh D'Souza,"Gruber had none of these motives. Gruber’s candor about Obamacare was not caused by the desire to be a whistle-blower nor by a drinking spree nor by the prospect of gain. Rather, it was caused by Gruber’s arrogance. The man is a smug self-promoter who wanted to take credit for his participation in a clever racket. Speaking to fellow academics and liberal political activists, Gruber apparently thought he was in a room of thieves cackling about the latest heist they had pulled off. He thought he was swapping notes with others who were in on the con.",Right
16251,Dinesh D'Souza,"Gruber said that Obamacare was sold based on lies. He said the lies only worked because of the stupidity of the American people. Of one key Obamacare provision, Gruber said it was a very clever exploitation of the lack of economic understanding of the American voter. He said that while the administration promised transparency, lack of transparency was the key to getting the legislation through. Basically Gruber’s message to his fellow con men was, we fooled the rubes, and we got away with it.",Right
16252,Dinesh D'Souza,"At first the left tried to dismiss Gruber by saying he wasn’t an important architect of Obamacare. But earlier this same Gruber had been hailed by Harry Reid, Nancy Pelosi, and others as the Oracle of Obamacare.",Right
16253,Dinesh D'Souza,"Hitler was a racist in a way that Mussolini wasn’t, with FDR occupying a position somewhere between the two of them. FDR was not an anti-Semite, as Hitler was, but he did share Hitler’s low view of Asians and blacks. During World War II, FDR ordered that many Japanese Americans, under suspicion of disloyalty, be interned in camps. There is, of course, an argument in wartime for holding captive those who pose a security risk. My point, however, is that FDR made no similar arrangements for Italians and Germans in the United States. So there was a clear racial element in FDR’s approach to security. FDR was culpable for doing exactly what progressive Democrats accuse Donald Trump of doing when he threatens to target violent Islamists. Yet Trump doesn’t single out radical Muslims while exonerating other groups who act like them. FDR, by contrast, treated Japanese Americans in a way he didn’t treat German Americans or Italian Americans. That, I’m suggesting, is because FDR, even during World War II, retained a soft spot for German and Italian fascism. Also FDR wasn’t turned off by the fascist idea of a racial hierarchy; indeed, here was FDR implementing one himself. Incidentally Japanese internment is another crime that Democrats blame on America when their own hero, FDR, is the one who ordered it. FDR, Mussolini, and Hitler all denounced the free market and blamed the problems of their society on private business. All vowed to use the state to combat the power of business, and offered themselves as the true manifestation of the collective good. If one ended as the enemy of the other two, it shouldn’t blind us to their earlier mutual admiration.",Right
16255,Dinesh D'Souza,"She is more than just a liar; she and her husband Bill are corrupt and known to be corrupt, going back to their Arkansas days. Just prior to leaving the White House, the Clintons pardoned a notorious fugitive who had fled the country to escape prosecution on racketeering and tax fraud. Pardons don’t come free",Right
16256,Dinesh D'Souza,"If religion is so bad, what should be done about it? It should be eradicated. According to Sam Harris, belief in Christianity is like belief in slavery. I would be the first to admit that the prospects for eradicating religion in our time do not seem good. Still the same could have been said about efforts to abolish slavery at the end of the eighteenth century.6 But",Right
16257,Dinesh D'Souza,"I read Tom Brokaw’s book The Greatest Generation. This book celebrates the virtues of the generation that grew up between the two world wars.9 As I read Brokaw’s book, I asked myself: What made the greatest generation so great? The answer is twofold: the Depression and World War II. The virtues of that generation were the product of scarcity and war. Hardship and need forged the admirable qualities of courage, sacrifice, and solidarity. But the greatest generation failed in one important respect: it could not produce another great generation. Why not? The obvious answer is affluence. The parents of the greatest generation wanted their children to have the advantages they never had. And in giving their children everything they wanted, the frugal, self-disciplined, sacrificial generation of World War II produced the spoiled children of the 1960s",Right
16258,Dinesh D'Souza,"Obama’s claims about teachers and CEOs gets to a broader puzzle about how a capitalist society assigns rewards. At first glance, it seems that there is no relationship between merit and reward. Athletes and entertainers, who provide services much less indispensable than teachers and doctors, earn vastly more than either of those two professions. Earlier I mentioned the example of the parking lot guy who parks all the cars and makes money for the resort, yet he gets a pittance of that money. From his point of view, there is no relationship between work and reward. He does the work, and they get the profits. This is pretty much how workers feel in a variety of occupations. They are the makers and their bosses are the takers. In a truly fair and merit-based society, they should get more and the bosses should get less. These arguments are, whether their proponents recognize it or not, anchored in Karl Marx’s notion of surplus value. Marx is largely discredited today, because Communism proved a failure, and Marx’s prophecies proved dead wrong.",Right
16259,Dinesh D'Souza,"The Sioux position, conveyed by White Face, is that the land needs to be returned; it needs to become tribal land again. White Face showed me what used to be several ancient sacred sites where the Great Spirits dwell and she wants those sites restored, so Sioux people can once again commune with the spirits. I reminded White Face that before the Sioux, there were Cheyenne Indians and other tribes on that land. So if America stole the land from the Sioux, didn’t the Sioux steal the land from the Cheyenne and other tribes? If the land is returned to the Sioux, shouldn’t the Sioux turn around and give it back to those who had it before? White Face looked flustered.",Right
16740,Dinesh D'Souza,"In this respect, Obama is fairly typical of progressives more generally. The evidence for this claim is in Arthur Brooks’s study, Who Really Cares. Brooks bases his conclusions on data drawn from a wide range of sources that keep track of philanthropy. Brooks divides America into four groups: religious conservatives, religious liberals, secular conservatives, and secular liberals. He finds that religious conservatives are the most generous people in America, and secular liberals are the least generous. (Secular conservatives and religious liberals fall in the middle.)",Right
16741,Dinesh D'Souza,"The free society does not guarantee virtue any more than it guarantees happiness. But it allows for the pursuit of both, a pursuit rendered all the more meaningful and profound because success is not guaranteed: it has to be won through personal striving.",Right
16742,Dinesh D'Souza,"Let’s begin with this notion that society, not entrepreneurs, is primarily responsible for the success of an enterprise. What is the evidence for that? Actually there is very little. Consider the great inventions and innovations of the nineteenth century that made possible the Industrial Revolution and the rising standard of living that propelled America into the front ranks of the world by the mid-twentieth century. Who built the telegraph, and the great shipping lines, and the railroads, and the airplanes? Who produced the tractors and the machinery that made America the manufacturing capital of the world? Who built and then made available home appliances like the vacuum cleaner, the automatic dishwasher, and the microwave oven? More recent, who built the personal computer, the iPhone, and the software and search engines that power the electronic revolution? Entrepreneurs, that’s who. Government played a role, but that role was extremely modest. In the nineteenth century, the government did little more than grant licenses to companies to operate on the high seas or to go ahead and build railroads. As is often the case when there are government favors to be had, such licenses and contracts were attended with the usual lobbying, cajoling, and corruption. In the twentieth century, the government refused to help the Wright brothers because it had its own cockamamie idea about how airplanes should be built; the Wright brothers, on their own, actually went ahead and built one that could fly, and the government was so angry that for a long time it simply ignored this stunning new invention.",Right
16743,Dinesh D'Souza,"Sometimes reparations is used to justify a feeding frenzy in which minority claimants simply raid the U.S. Treasury en masse while government bureaucrats facilitate a large transfer of wealth from the taxpayer to these so-called historical victims. A scandalous example of this is the Pigford case. Some ninety-one black farmers had sued the U.S. government alleging a legacy of bias against African Americans. Rather than settle the suit and pay the farmers a reasonable compensation, the Obama administration used the lawsuit to make an absurdly expensive settlement. It agreed to pay out $1.33 billion to compensate not only the ninety-one plaintiffs but also thousands of Hispanic and female farmers who had never claimed bias in court. Encouraged by this largesse, law firms began to conjure up new claimants. Later reviews showed that some of these claimants were nursery-school-age children and even urban dwellers who had no connection to farming. In some towns, the number of people being paid was many times greater than the total number of farms. According to the New York Times, one family in Little Rock, Arkansas, had ten members each submit a claim for $50,000, netting $500,000 for the family without any proof of discrimination. Then the Native Americans got in on the racket, and the Obama administration settled with them, agreeing to fork over an additional $760 million. The government also reimbursed hundreds of millions of dollars in legal fees, a cornucopia for trial lawyers who also happen to be large contributors to Obama and the Democratic Party. Altogether the Pigford payout is estimated to have cost taxpayers a staggering $4.4 billion.3",Right
16744,Dinesh D'Souza,"When I hear such arguments, I find my sympathies moving toward Obama; we should at least credit him with being smarter than this. I think his critics sometimes forget how much of his domestic and foreign agenda he has realized in a single term. The anti-colonial theory gives Obama the benefit of presuming him to be at least modestly intelligent. Of course Obama understands the consequences of his actions",Right
16745,Dinesh D'Souza,"Another way to put it is that the majority must not use its power to trample on minority rights. The Founders were very concerned about this. What if the majority decides, for instance, to confiscate the property of the minority? The Founders insisted that tyranny of the majority is just as dangerous as having a one-man tyrant. In some ways, it’s more dangerous. It’s bad enough to be oppressed by one man",Right
16746,Dinesh D'Souza,Fascism is an Italian term that means groupism or collectivism. The fasci in Italy were groups of political activists who got their name from the fasces of ancient Rome,Right
16747,Dinesh D'Souza,"This is not my view of the matter; it is the Nazi eugenicists’ view of the matter. In the early twentieth century, eugenics and social Darwinism were far more prevalent in America than they were in Germany. Margaret Sanger and her fellow progressive eugenicists didn’t get their ideas for killing off undesirables",Right
16748,Dinesh D'Souza,"Businesses call this profit. Marx called it surplus value. For Marx, the crucial question is: Who gets this surplus value? Who is entitled to the profit that businesses accumulate? Marx insisted that this profit belongs wholly to the workers. They earned it, so they deserve to share it. In reality, however, the entrepreneur or the capitalist gets it. If he has investors, they too share it. Marx regarded this as the most scandalous form of exploitation. He insisted that workers spend only part of their day working to benefit themselves; the rest of the time they spend working to benefit the capitalists. Basically the capitalists are stealing from the workers. Yet Marx recognized that this was the essence of capitalism. Only a workers’ revolution, Marx believed, would end this unjust arrangement. Notice that Marx isn’t condemning the capitalist for taking excessive profits; he is condemning the capitalist for taking any profits. Marx, I want to emphasize, was not a progressive con man. He passionately believed that capitalists were greedy, corrupt exploiters. The reason he felt that way was that he was a complete ignoramus about business. He simply had no idea how businesses actually operate. Marx never ran a business. He never even balanced his checkbook. He was a lifelong leech. He had all his expenses paid for by his partner, Friedrich Engels, who inherited his father’s textile companies. Progressives like to portray Engels as a businessman but in fact he too didn’t actually operate the family business. He had people to do that for him. Freed from the need to work, Engels was a man of leisure and a part-time intellectual. Ironically Marx and Engels were both dependent on the very capitalism they scorned.",Right
16749,Dinesh D'Souza,"Hundreds of leading socialists, initially in Italy but subsequently in Germany, France, and other countries, also became fascists.",Right
16750,Dinesh D'Souza,"In fact, I will go further to say that all the leading figures in the founding of fascism were men of the Left.",Right
16751,Dinesh D'Souza,"The first fascists, Anthony James Gregor tells us, were almost all Marxists.",Right
16752,Dinesh D'Souza,"Progressivism simply cannot account for the easy traffic from socialism to fascism. Consequently, progressives typically maintain complete silence about this whole historical relationship which is deeply embarrassing to them.",Right
16753,Dinesh D'Souza,"When Mussolini sold out he became an outcast. He had neither money nor power. Nor did any of the first fascists embrace fascism for this reason. Rather, they became fascists because they saw fascism as the only way to rescue socialism and make it viable. In other words, their defection was within socialism",Right
16754,Dinesh D'Souza,"Here is Democrat Robert Byrd, conscience of the Senate, lionized by Obama, Hillary, and Bill when he died in 2010, speaking during the war about his reluctance to fight in a racially integrated military: I am loyal to my country and know but reverence to her flag BUT I shall never submit to fight beneath that banner with a negro by my side. Rather I should die a thousand times, and see this old glory trampled in the dirt never to rise again, than to see this beloved land of ours become degraded by race mongrels, a throwback to the blackest specimens from the wilds.20",Right
16755,Dinesh D'Souza,"And here are simply the titles of a few books published by progressive Democrats in the early twentieth century: Charles Carroll’s The Negro a Beast (1900), Robert Shufeldt’s The Negro: A Menace to American Civilization (1907), Charles McCord’s The American Negro as a Dependent, Defective and Delinquent (1914), and again Shufeldt’s America’s Greatest Problem: The Negro (1915).",Right
16756,Dinesh D'Souza,"Consider the proof that progressives typically give to prove Thomas Jefferson’s racism. Here is the smoking gun from Jefferson’s Notes on the State of Virginia: I advance it therefore as a suspicion only that the blacks, whether originally a distinct race, or made distinct by time and circumstance, are inferior to the whites in the endowments of body and mind.22",Right
16757,Dinesh D'Souza,"Yet while lying about the Jews and plotting their destruction, Hitler accuses the Jews of lying and of plotting the destruction of Germany. Hitler employs the big lie even as he disavows its use. He portrays himself as a truth-teller and attributes lying to those he is lying about",Right
16758,Dinesh D'Souza,"The big lie is now back, and this time it is about the role of fascism and Nazism in American politics. The political Left",Right
16759,Dinesh D'Souza,"In this book, I turn the tables on the Democratic Left and show that they",Right
17240,Dinesh D'Souza,"Who can deny that blacks are still living with the effects of what the Democrats did to them? Today blacks have an illegitimacy rate approaching 80 percent. I am not saying it’s all due to slavery, but who can say that it’s not partly due to the legacy of slavery? Black crime rates are vastly higher, with high rates of black-on-black homicide. Who can say that this is not at least partly the consequence of the Democratic planters’ devaluation of black life? The progressive scholar W. E. B. Du Bois certainly did.",Right
17241,Dinesh D'Souza,"In this chapter I will trace the development of fascism by showing precisely how it grew out of a doctrinal division within the community of Marxian socialists. In short, I will prove that fascism is exclusively a product of the Left. This is not a case of leftists who moved right. On the contrary, the fascists were on the left end of the socialist movement. They saw themselves not as jettisoning Marxism but as saving it from obsolescence. From their perspective, Marxism and socialism were too inert and needed to be adjusted leftward. In other words, they viewed fascism as more revolutionary than traditional socialism.",Right
17242,Dinesh D'Souza,"This is significant because every segregation law in the South was passed by a Democratic legislature, signed into power by a Democratic governor, and enforced by Democratic sheriffs and Democratic city and state officials. Most anti-miscegenation laws were passed in Democratic states. Progressives passed the racist Immigration Law of 1924 and celebrated it as a victory of progressive science and progressive planning. The Ku Klux Klan was a creation of the Democrats and served for thirty years, in the words of progressive scholar Eric Foner, as the domestic terrorist arm of the Democratic Party.",Right
17243,Dinesh D'Souza,"Practitioners of the big lie, like Whitman and Nelson, have a second objective. Incredibly, this is the objective of turning the villains of their story into its heroes. By clearing the Democrats and the progressives of blame, they intend to pave the way for these same Democrats to offer themselves as the solution for racism. As the big lie unfolds, somehow the very people who have poisoned the water reappear dressed as the water commissioner. It’s an unbelievable scam.",Right
17244,Dinesh D'Souza,"In this case, the story that we had accepted, like suckers, was the idea that fascism and Nazism are inherently right wing.",Right
17245,Dinesh D'Souza,"In my previous book and film, Hillary’s America, I challenged another powerful leftist paradigm. This is the paradigm that the progressives and the Democrats are the party of emancipation, equality, and civil rights. I showed instead that they are the party of slavery and Indian removal, of segregation and Jim Crow, of racial terrorism and the Ku Klux Klan, and of opposition to the civil rights movement of the 1960s.",Right
17246,Dinesh D'Souza,My goal was to strip away the race card from the Democrats,Right
17247,Dinesh D'Souza,"Incredibly the Democrats had taken full credit for the civil rights movement, even though Republicans are the ones who got it passed, and even though the opposition to it came almost entirely from the Democratic Party. Democrats accused Republicans",Right
17248,Dinesh D'Souza,Talk about transference. This was my introduction to the Left’s political strategy of shifting the blame for racism onto the party that had historically opposed racism in all its forms.,Right
17249,Dinesh D'Souza,"So successful were the Democrats in this con that in 2005 a head of the Republican National Committee, Ken Mehlman, went around apologizing to black groups for sins that had actually been committed, not by the Republicans, but by the Democrats.",Right
17250,Dinesh D'Souza,"Equally astonishing, the Democrats have never admitted their racist history, never taken responsibility for what they did, never apologized for it, never paid one penny of restitution for their crimes.",Right
17251,Dinesh D'Souza,"What intrigued me most was how one can get away with such a big lie. The answer is you have to dominate all the large megaphones of the culture, from academia to the movies to the major media.",Right
17252,Dinesh D'Souza,"With this cultural arsenal at their disposal, big liars can spin out falsehoods with the confidence that no one else has a large enough megaphone to challenge them. They can have their lies taught in classrooms, made into movies and TV shows, and reported in the everyday media as the unvarnished truth. This is how big lies come to be widely believed, sometimes even by the people who are being lied about.",Right
17254,Dinesh D'Souza,"My objective, now as before, is to do to the new Nazi paradigm what my previous book did to the old race narrative, namely, blow it out of the water. Here I refute their bogus narrative, expose their big lie, and pin the Nazi tail precisely where it belongs",Right
17255,Dinesh D'Souza,Later a group called Project Veritas released videotaped evidence that the Hillary campaign and leftist groups had paid protesters to provoke violence at Trump rallies.,Right
17256,Dinesh D'Souza,"The problem began when the central prophecies of Marxism failed to occur. This created a massive crisis within the Left, and essentially Marxism split into two camps: the first became Leninism and Bolshevism, and the other became fascism and Nazism.",Right
17257,Dinesh D'Souza,"In some ways the progressive Democrats are even closer to the German Nazis than to the Italian fascists. The Italian fascists, for example, were much less racist than the Democratic Party in the United States. There are no parallels for the costumed racial terrorism of the Democratic Party-backed Ku Klux Klan in Italy, although one can find such parallels in Nazi Germany. Democratic policies of white supremacy, racial segregation, and state-sponsored discrimination were also alien to Italian fascism but right at home in the Third Reich.",Right
17258,Dinesh D'Souza,"In the German camps and on the Democrat-run plantations, forced labor was employed with human tools solely with regard to productivity and with little if any regard for the lives of the workers who were, in both cases, considered inferior and even subhuman. The analogy between two of the worst compulsory confinement and forced labor systems in human history is not merely legitimate; it is overdue.",Right
17259,Dinesh D'Souza,"Hitler, for instance, specifically said he intended to displace and exterminate the Russians, the Poles, and the Slavs in precisely the way Americans in the Jacksonian era had displaced and exterminated the native Indians. The Nazi Nuremberg Laws were directly modeled on the segregation and anti-miscegenation laws that had been implemented decades earlier in the Democratic South.",Right
17740,Dinesh D'Souza,Forced sterilization and euthanasia aimed at eliminating racial defectives and producing a superior Nordic race were two additional schemes the Nazis got from American progressives.,Right
17741,Dinesh D'Souza,"JFK toured Nazi Germany in the 1930s and came back effusive with praise of Hitler and his theory of Nordic superiority. I have come to the conclusion, JFK wrote in his diary, that fascism is right for Germany and Italy. Touring the Rhineland, JFK echoed Nazi propaganda at the time. The Nordic races appear to be definitely superior to the Romans. Hostility toward Hitler, JFK insisted, stems largely from jealousy. The Germans really are too good",Right
17742,Dinesh D'Souza,"Around the same time, however, and beaten by the fascists by only a hair, a closely related ideology developed in America that also called for a powerful centralized state. That ideology was, of course, progressivism. The fascists, like the progressives, sought a radical transformation of society that is the very antithesis of classical liberalism or modern American conservatism.",Right
17744,Dinesh D'Souza,"In addition, the fascists adopted an economic policy that is closely parallel to, and in many respects identical with, today’s progressivism. Mussolini called this policy corporatism, but a more descriptive term would be state-run capitalism.",Right
17745,Dinesh D'Souza,"Mussolini envisioned a powerful centralized state directing the institutions of the private sector, forcing their private welfare into line with the national welfare. Isn’t this precisely how progressives view the federal government’s control of banks, finance companies, insurance companies, health care, energy, and education?",Right
17746,Dinesh D'Souza,"Although today’s American Left dares not invoke Mussolini’s name, the honest among them will have to admit that it was he and his fellow fascists who were their pioneers and paved their way.",Right
17747,Dinesh D'Souza,"The central issue, therefore, is which is the party of racism and which is the party of civil rights? This question cannot be answered simply by invoking the Civil Rights Movement of the 1950s and 1960s. That movement was itself parasitic on an earlier civil rights movement that took place a century earlier. Didn’t know there were two civil rights movements? That’s because the progressives don’t say much about it. They focus on the later movement and pass over the earlier one. The earlier civil rights revolution is downplayed today because it has become politically problematic. It disrupts the progressive party line. Even in the second civil rights revolution, however, the roots of the first one are clearly apparent.",Right
17748,Dinesh D'Souza,"WHERE THESE RIGHTS COME FROM Yet what was the constitutional basis for these actions? Desegregation and anti-discrimination laws both relied on the notion that blacks weren’t slaves any longer; rather, they were free and could make their own choices. This freedom, however, had been secured for blacks by the Thirteenth Amendment to the Constitution which permanently abolished slavery. Thus, the Thirteenth Amendment was the original freedom charter for African Americans. The desegregation court rulings and the anti-discrimination provisions of the Civil Rights Act and the Fair Housing Bill were also based on the equal protection clause of the Fourteenth Amendment. This Amendment granted citizenship to blacks and established equal rights under the law. It was the original social justice manifesto for blacks, women, and other minorities. Finally, the Voting Rights Act attempted to secure for blacks full enfranchisement, the right to vote. But blacks already had the right to vote. That right was specified in the Fifteenth Amendment to the Constitution. This amendment declared that, as citizens, blacks had the same prerogative to cast their ballots as whites and all others. The 1965 Voting Rights Act merely sought to enforce an equality provision that had been constitutionally affirmed much earlier.",Right
17749,Dinesh D'Souza,"The Thirteenth, Fourteenth, and Fifteenth amendments were passed in the aftermath of the Civil War. They were passed by the Republican Party. The Republicans enacted these measures then to secure the freedom, equality, and social justice that Democrats keep harping on today. To further promote these goals, Republicans also implemented a series of Civil Rights laws: the Civil Rights Act of 1866, the Reconstruction Act of 1867, and the Ku Klux Klan Act of 1871.",Right
17750,Dinesh D'Souza,"The Republican ethos underlying these landmark provisions was aptly framed by the great abolitionist Republican, Frederick Douglass. Douglass said, It is evident that white and black must fall or flourish together. In light of this great truth, laws ought to be enacted, and institutions established",Right
17751,Dinesh D'Souza,This was the clarion cry taken up by the GOP in the aftermath of the Civil War. Virtually all the black leaders who emerged from that era were Republicans who supported the GOP’s call to remove race as the basis of government policy and social action. Historian Eric Foner writes that black activists of the antebellum era embraced an affirmation of Americanism that insisted blacks were entitled to the same rights and opportunities that white citizens enjoyed.3,Right
17752,Dinesh D'Souza,Notice that the GOP program,Right
17753,Dinesh D'Souza,"How interesting that the Democrat, Martin Luther King, is identified with a principle that the Republican, Frederick Douglass, expressed even more eloquently so much earlier. How bizarre that the Democrats are presumed to be the party of civil rights when the very content of civil rights was formulated and developed by the GOP.",Right
17754,Dinesh D'Souza,"Very few young people know this history. Most of them haven’t even heard about Douglass; who hasn’t heard of Martin Luther King? Am I suggesting that the scandalous neglect of Douglass and the excessive praise heaped on King is part of the progressive whitewash? You bet I am. But, say the Democratic and progressive historians, wait a minute! While King’s program moved forward and was enacted into law, Douglass’s program was halted in its tracks. We cannot forget about the backlash! Yes, indeed. The Democratic storytellers are right that there was a powerful backlash against blacks in the South, so that the constitutional provisions of freedom, equality, and social justice became a dead letter. The Civil Rights laws were stymied, and even the provisions that passed were ignored. Blacks were reduced to new forms of subjugation not identical with, but reminiscent of, slavery. This re-enslavement of blacks was enforced by a juggernaut of violence epitomized by that institution of domestic terrorism, the Ku Klux Klan.",Right
17755,Dinesh D'Souza,"This part of the story is true enough. What the storytellers omit, however, is that the Democrats are the ones who caused the backlash! They are the ones who from the beginning opposed black freedom and black equality, undermining voting rights and equal treatment under the law. They were the true enemies of racial and social justice. Moreover, the Democrats did those things not just through political and legal measures but also through domestic terrorism. Indeed, the Ku Klux Klan was a licensed instrument of terror and intimidation unleashed by Democrats and operating for the benefit of the Democratic Party.",Right
17756,Dinesh D'Souza,"Consequently, it was Democrats who, from the 1860s through the 1960s, prevented blacks as a group from enjoying their rights through political opposition and violent acts of terror. Democrats now claim credit for allowing blacks to have the civil rights that they themselves violently prevented for a hundred years.",Right
